feature,min,max
b09_value,94.43598938,267.5681763
b10_value,66.1883316,275.0522766
b11_value,98.25500488,309.6379395
b12_value,106.5880127,282.6357422
b14_value,83.92132568,314.0800171
b16_value,72.48714447,284.3907471
i2b_value,97.98200226,308.6512756
i4b_value,48.99583054,319.8268738
irb_value,80.21400452,314.3748474
wvb_value,59.52667236,256.3693237
IE,-0.000400414,7.92E-05
PEV,-0.001346455,4.52E-05
R250,-4.421303749,142.9603271
R500,-5.099969864,125.4048767
R850,1.236751556,112.9468384
SLHF,-2749778,196700
SLOR,1.00E-04,0.058033153
SSHF,-2031747,709433
TCLW,0,3.827758789
CAPE,0,9291.5
ETSS,-15876.52344,11796.50781
Kindex,-74.98940277,45.91851044
TCW,3.852136612,117.5764923
TCWV,3.852136612,85.77552795
Uwind_250,-30.69035339,70.05427551
Uwind_850,-36.64477539,26.56506348
Vwind_250,-37.21078491,43.15629578
Vwind_850,-28.7641449,26.60746765
ISOR,0,0.94960475
DEM,0,2166
wvb_i2b,-178.3311462,114.7795105
b09_b14,-178.3526917,121.7949829
b09_b11,-169.0475159,126.2077789
b12_b14,-164.2762451,124.263031
wvb_b14,-184.386261,113.8631287
wvb_irb,-185.7564392,105.5949097
b10_b11,-221.3678284,129.6931763
b12_irb,-165.6464233,126.1711426
b10_i2b,-205.2979736,128.9889526
b09_b16,-153.3947449,124.5109863
b09_irb,-179.7228699,121.9403687
wvb_b16,-159.4283142,110.9066162
wvb_b11,-181.9841614,116.3807373
b11_b16,-131.71698,166.1381836
b09_i2b,-172.2321472,122.1842041
b12_i2b,-159.1329956,124.2113647
b10_b14,-205.5353088,128.3720398
i4b_wvb,-199.498703,195.940094
b11_b12,-132.5174561,158.0072632
i2b_b16,-143.7874756,163.3760986
b10_b16,-186.318634,133.4832764
i4b_b14,-260.0350342,157.2122498
wvb_b10,-147.2123413,156.0637817
wvb_b12,-157.2065125,117.7549438
b09_b10,-139.2946777,124.5050964
wvb_b09,-137.8208008,119.0407715
b10_irb,-213.1272583,128.525116
i4b_b10,-217.5789032,170.9276123
b09_b12,-138.4247437,129.6618958
i4b_b09,-208.8483582,175.1194458
i4b_i2b,-254.652359,156.6328735
i4b_b11,-256.2689819,168.7772522
b12_b16,-141.6031189,133.500061
i4b_b16,-230.6396637,164.0391846
i4b_irb,-260.3733521,165.2640686
irb_i2b,-148.036438,151.1228333
b11_b14,-152.2679138,145.3425293
i4b_b12,-228.6240082,165.4811401
b11_i2b,-147.519104,147.7240601
b14_b16,-129.1809387,156.2299805
irb_b16,-130.3282166,170.3887634
irb_b14,-147.2019958,148.9370117
b10_b12,-184.8311462,137.8699951
b14_i2b,-144.4917297,148.3696289
b11_irb,-153.638092,150.0055237
