feature,min,max
b09_b10,-139.2946777,258.527832
b09_b11,-169.0475159,126.9987488
b09_b12,-138.4247437,129.6618958
b09_b14,-178.3526917,261.3044434
b09_b16,-153.3947449,261.9799805
b09_i2b,-172.2321472,258.527832
b09_irb,-291.5333252,261.9799805
b09b_value,94.43598938,267.5681763
b10_b11,-292.1181641,130.7770081
b10_b12,-269.5999756,137.8699951
b10_b14,-205.5353088,268.1963501
b10_b16,-186.318634,269.307251
b10_i2b,-205.2979736,128.9889526
b10_irb,-291.5333252,271.4699707
b10b_value,66.1883316,275.0522766
b11_b12,-135.0599976,158.0072632
b11_b14,-152.2679138,304.2305298
b11_b16,-275.3199463,292.1181641
b11_i2b,-147.519104,292.1181641
b11_irb,-296.4074707,294.0194092
b11b_value,98.25500488,309.6379395
b12_b14,-164.2762451,279.4528809
b12_b16,-141.6031189,269.5999756
b12_i2b,-159.1329956,269.5999756
b12_irb,-291.5333252,271.1600342
b12b_value,106.5880127,282.6357422
b14_b16,-279.9324951,156.2299805
b14_i2b,-300.0799561,148.3696289
b14b_value,83.92132568,314.0800171
b16b_value,72.48714447,284.3907471
i2b_b16,-143.7874756,163.3760986
i2b_value,97.98200226,308.6512756
i4b_b09,-265.9806824,315.979187
i4b_b10,-271.9933777,315.979187
i4b_b11,-309.5859375,315.979187
i4b_b12,-280.6071167,315.979187
i4b_b14,-314.0200195,318.1864624
i4b_b16,-282.9207764,315.979187
i4b_i2b,-307.6488953,315.979187
i4b_irb,-314.3748474,315.979187
i4b_value,48.99583054,319.8268738
i4b_wvb,-252.4499969,315.979187
irb_b14,-296.2979736,291.5333252
irb_b16,-277.3883057,291.5333252
irb_i2b,-294.0378418,291.5333252
irb_value,80.21400452,314.3748474
wvb_b09,-258.527832,120.7275085
wvb_b10,-256.7999878,156.0637817
wvb_b11,-292.1181641,245.6345215
wvb_b12,-269.5999756,117.7549438
wvb_b14,-289.4899902,124.4150085
wvb_b16,-271.0841675,124.4150085
wvb_i2b,-284.9107666,114.7795105
wvb_irb,-291.5333252,249.3366699
wvb_value,59.52667236,256.3693237
